Year,Session,Q_type,Q_title
2004,第一届,A,发现黄球并定位
2004,第一届,B,实用下料问题
2004,第一届,C,售后服务数据的运用
2004,第一届,D,研究生录取问题
2005,第二届,A,Highway Traveling time Estimate and Optimal Routing
2005,第二届,B,空中加油
2005,第二届,C,城市交通管理中的出租车规划
2005,第二届,D,仓库容量有限条件下的随机存贮管理
2006,第三届,A,Ad Hoc网络中的区域划分和资源分配问题
2006,第三届,B,确定高精度参数问题
2006,第三届,C,维修线性流量阀时的内筒设计问题
2006,第三届,D,学生面试问题
2007,第四届,A,建立食品卫生安全保障体系数学模型及改进模型的若干理论问题
2007,第四届,B,机械臂运动路径设计问题
2007,第四届,C,探讨提高高速公路路面质量的改进方案
2007,第四届,D,邮政运输网络中的邮路规划和邮车调度
2008,第五届,A,汶川地震中唐家山堰塞湖泄洪问题
2008,第五届,B,城市道路交通信号实时控制问题
2008,第五届,C,货运列车的编组调度问题
2008,第五届,D,中央空调系统节能设计问题
2009,第六届,A,我国就业人数或城镇登记失业率的数学建模
2009,第六届,B,枪弹头痕迹自动比对方法的研究
2009,第六届,C,多传感器数据融合与航迹预测
2009,第六届,D,110警车配置及巡逻方案
2010,第七届,A,确定肿瘤的重要基因信息
2010,第七届,B,与封堵溃口有关的重物落水后运动过程的数学建模
2010,第七届,C,神经元的形态分类和识别
2010,第七届,D,特殊工件磨削加工的数学建模
2011,第八届,A,基于光的波粒二象性一种猜想的数学仿真
2011,第八届,B,吸波材料与微波暗室问题的数学建模
2011,第八届,C,小麦发育后期茎秆抗倒性的数学模型
2011,第八届,D,房地产行业的数学建模
2012,第九届,A,基因识别问题及其算法实现
2012,第九届,B,基于卫星无源探测的空间飞行器主动段轨道估计与误差分析
2012,第九届,C,有杆抽油系统的数学建模及诊断
2012,第九届,D,基于卫星云图的风矢场（云导风）度量模型与算法探讨
2013,第十届,A,变循环发动机部件法建模及优化
2013,第十届,B,功率放大器非线性特性及预失真建模
2013,第十届,C,微蜂窝环境中无线接收信号的特性分析
2013,第十届,D,空气中PM2.5问题的研究
2013,第十届,E,中等收入定位与人口度量模型研究
2013,第十届,F,可持续的中国城乡居民养老保险体系的数学模型研究
2014,第十一届,A,小鼠视觉感受区电位信号（LFP）与视觉刺激之间的关系研究
2014,第十一届,B,机动目标的跟踪与反跟踪
2014,第十一届,C,无线通信中的快时变信道建模
2014,第十一届,D,人体营养健康角度的中国果蔬发展战略研究
2014,第十一届,E,乘用车物流运输计划问题
2015,第十二届,A,水面舰艇编队防空和信息化战争评估模型
2015,第十二届,B,数据的多流形结构分析
2015,第十二届,C,移动通信中的无线信道“指纹”特征建模
2015,第十二届,D,面向节能的单/多列车优化决策问题
2015,第十二届,E,数控加工刀具运动的优化控制
2015,第十二届,F,旅游路线规划问题
2016,第十三届,A,多无人机协同任务规划
2016,第十三届,B,具有遗传性疾病和性状的遗传位点分析
2016,第十三届,C,基于无线通信基站的室内三维定位问题
2016,第十三届,D,军事行动避空侦察的时机和路线选择
2016,第十三届,E,粮食最低收购价政策问题研究
2017,第十四届,A,无人机在抢险救灾中的优化运用
2017,第十四届,B,面向下一代光通信的VCSEL激光器仿真模型(华为题)
2017,第十四届,C,航班恢复问题
2017,第十四届,D,基于监控视频的前景目标提取
2017,第十四届,E,多波次导弹发射中的规划问题
2017,第十四届,F,构建地下物流系统网络
2018,第十五届,A,关于跳台跳水体型系数设置的建模分析
2018,第十五届,B,光传送网建模与价值评估
2018,第十五届,C,对恐怖袭击事件记录数据的量化分析
2018,第十五届,D,基于卫星高度计海面高度异常资料获取潮汐调和常数方法及应用
2018,第十五届,E,多无人机对组网雷达的协同干扰
2018,第十五届,F,机场新增卫星厅对中转旅客影响的评估方法
2019,第十六届,A,无线智能传播模型
2019,第十六届,B,天文导航中的星图识别
2019,第十六届,C,视觉情报信息分析
2019,第十六届,D,汽车行驶工况构建
2019,第十六届,E,全球变暖?
2019,第十六届,F,多约束条件下智能飞行器航迹快速规划
2020,第十七届,A,芯片相噪算法设计(华为题)
2020,第十七届,B,汽油辛烷值建模
2020,第十七届,C,面向康复工程的脑电信号分析和判别模型
2020,第十七届,D,无人机集群协同对抗
2020,第十七届,E,能见度估计与预测
2020,第十七届,F,飞行器质心平衡供油策略优化
2021,第十八届,A,相关矩阵组的低复杂度计算和存储建模
2021,第十八届,B,空气质量预报二次建模
2021,第十八届,C,帕金森病的脑深部电刺激治疗建模研究
2021,第十八届,D,抗乳腺癌候选药物的优化建模
2021,第十八届,E,信号干扰下的超宽带（UWB）精确定位问题
2021,第十八届,F,航空公司机组优化排班问题
2022,第十九届,A,移动场景超分辨定位问题
2022,第十九届,B,方形件组批优化问题
2022,第十九届,C,汽车制造涂装-总装缓存调序区调度优化问题
2022,第十九届,D,PISA架构芯片资源排布问题
2022,第十九届,E,草原放牧策略研究
2022,第十九届,F,COVID-19疫情期间生活物资的科学管理问题
2023,第二十届,A,WLAN网络信道接入机制建模
2023,第二十届,B,DFT类矩阵的整数分解逼近
2023,第二十届,C,大规模创新类竞赛评审方案研究
2023,第二十届,D,区域双碳目标与路径规划研究
2023,第二十届,E,出血性脑卒中临床智能诊疗建模
2023,第二十届,F,强对流降水临近预报
2024,第二十一届,A,风电场有功功率优化调度
2024,第二十一届,B,WLAN组网中网络吞吐量建模
2024,第二十一届,C,数据驱动下磁性元件的磁芯损耗建模
2024,第二十一届,D,大数据驱动的地理综合问题
2024,第二十一届,E,高速公路应急车道启用建模
2024,第二十一届,F,X射线脉冲星光子到达时间建模
2025,第二十二届,A,通用神经网络处理器下的核内调度问题
2025,第二十二届,B,无线通信系统链路速率建模
2025,第二十二届,C,围岩裂隙精准识别与三维模型重构
2025,第二十二届,D,低空湍流监测及最优航路规划
2025,第二十二届,E,高速列车轴承智能故障诊断问题
2025,第二十二届,F,江南古典园林的美学特征建模
