original,standard
上海对外贸易学院,上海对外经贸大学
上海应用技术学院,上海应用技术大学
上海核工程研究设计院与清华大学工程物理系,上海核工程研究设计院
上海电力学院,上海电力大学
上海材料研究所,上海科学院(材料所)
机械科学研究院（上海材料研究所）,上海科学院(材料所)
上海市计算技术研究所,上海科学院(计算所)
上海立信会计学院,上海立信会计金融学院
东北大学秦皇岛分校,东北大学(秦皇岛)
东北电力学院,东北电力大学
大庆石油学院,东北石油大学
中北大学研究生院,中北大学
武警后勤学院,中国人民武装警察部队后勤学院
武警工程大学,中国人民武装警察部队工程大学
武警工程学院,中国人民武装警察部队工程大学
信息支援部队工程大学,中国人民解放军信息支援部队工程大学
国防信息学院,中国人民解放军信息支援部队工程大学
国防科技大学信息通信学院,中国人民解放军信息支援部队工程大学
解放军通信指挥学院,中国人民解放军信息支援部队工程大学
通信指挥学院,中国人民解放军信息支援部队工程大学
中国人民解放军西安通信学院,中国人民解放军信息支援部队工程大学
西安通信学院,中国人民解放军信息支援部队工程大学
解放军西安通信学院,中国人民解放军信息支援部队工程大学
信息工程大学,中国人民解放军信息支援部队工程大学
解放军信息工程大学,中国人民解放军信息支援部队工程大学
军事科学院,中国人民解放军军事科学院
防化研究院,中国人民解放军军事科学院(防化研究院)
北京跟踪与通信技术研究所,中国人民解放军军事航天部队北京跟踪与通信技术研究所
航天工程大学,中国人民解放军军事航天部队航天工程大学
装备学院,中国人民解放军军事航天部队航天工程大学
中国人民解放军装备学院,中国人民解放军军事航天部队航天工程大学
中国人民解放军战略支援部队航天工程大学,中国人民解放军军事航天部队航天工程大学
解放军医学院,中国人民解放军医学院
国防大学,中国人民解放军国防大学
石家庄陆军指挥学院,中国人民解放军国防大学(联合作战学院)
解放军石家庄陆军指挥学院,中国人民解放军国防大学(联合作战学院)
国防科学技术大学,中国人民解放军国防科技大学
国防科技大学,中国人民解放军国防科技大学
解放军外国语学院,中国人民解放军国防科技大学(外国语学院)
中国人民解放军国防科技大学电子对抗学院,中国人民解放军国防科技大学(电子对抗学院)
解放军电子工程学院,中国人民解放军国防科技大学(电子对抗学院)
中国人民解放军电子工程学院,中国人民解放军国防科技大学(电子对抗学院)
海军军医大学,中国人民解放军海军军医大学
第二军医大学,中国人民解放军海军军医大学
海军勤务学院,中国人民解放军海军勤务学院
海军大连舰艇学院,中国人民解放军海军大连舰艇学院
海军工程大学,中国人民解放军海军工程大学
海军指挥学院,中国人民解放军海军指挥学院
海军潜艇学院,中国人民解放军海军潜艇学院
海军装备研究院,中国人民解放军海军研究院
海军航空大学,中国人民解放军海军航空大学
海军航空工程学院,中国人民解放军海军航空大学
海军航空工程学院青岛分院,中国人民解放军海军航空大学(青岛)
海军航空工程学院（青岛分院）,中国人民解放军海军航空大学(青岛)
火箭军工程大学,中国人民解放军火箭军工程大学
第二炮兵工程大学,中国人民解放军火箭军工程大学
第二炮兵工程学院,中国人民解放军火箭军工程大学
西安第二炮兵工程学院,中国人民解放军火箭军工程大学
解放军第二炮兵工程大学,中国人民解放军火箭军工程大学
火箭军指挥学院,中国人民解放军火箭军指挥学院
空军军医大学,中国人民解放军空军军医大学
第四军医大学,中国人民解放军空军军医大学
中国人民解放军空军勤务学院(徐州),中国人民解放军空军勤务学院
徐州空军学院,中国人民解放军空军勤务学院
空军勤务学院,中国人民解放军空军勤务学院
空军勤务学院（徐州）,中国人民解放军空军勤务学院
空军哈尔滨飞行学院,中国人民解放军空军哈尔滨飞行学院
空军工程大学,中国人民解放军空军工程大学
空军指挥学院,中国人民解放军空军指挥学院
空军航空大学,中国人民解放军空军航空大学
空军预警学院,中国人民解放军空军预警学院
中国人民解放军总参第五十八研究所,中国人民解放军网络空间部队第五十八研究所
中国人民解放军总参第五十六研究所,中国人民解放军网络空间部队第五十六研究所
中国人民解放军后勤工程学院,中国人民解放军联勤保障部队工程大学
解放军后勤工程学院,中国人民解放军联勤保障部队工程大学
联勤保障部队工程大学,中国人民解放军联勤保障部队工程大学
后勤工程学院,中国人民解放军联勤保障部队工程大学
陆军勤务学院,中国人民解放军联勤保障部队工程大学
军事交通学院,中国人民解放军联勤保障部队工程大学(天津校区)
中国人民解放军军事经济学院,中国人民解放军联勤保障部队工程大学(武汉校区)
军事经济学院,中国人民解放军联勤保障部队工程大学(武汉校区)
陆军军官学院,中国人民解放军陆军兵种大学
陆军炮兵防空兵学院,中国人民解放军陆军兵种大学
装甲兵工程学院,中国人民解放军陆军兵种大学
解放军装甲兵工程学院,中国人民解放军陆军兵种大学
陆军装甲兵学院,中国人民解放军陆军兵种大学
中国人民解放军炮兵学院南京分院,中国人民解放军陆军兵种大学(南京校区)
炮兵学院南京分院,中国人民解放军陆军兵种大学(南京校区)
解放军炮兵学院南京分院,中国人民解放军陆军兵种大学(南京校区)
南京炮兵学院,中国人民解放军陆军兵种大学(南京校区)
中国人民解放军蚌埠坦克学院,中国人民解放军陆军兵种大学(蚌埠校区)
装甲兵学院,中国人民解放军陆军兵种大学(蚌埠校区)
陆军军事交通学院,中国人民解放军陆军军事交通学院
第三军医大学,中国人民解放军陆军军医大学
陆军军医大学,中国人民解放军陆军军医大学
军械工程学院,中国人民解放军陆军工程大学
解放军理工大学,中国人民解放军陆军工程大学
陆军工程大学,中国人民解放军陆军工程大学
南京陆军指挥学院,中国人民解放军陆军指挥学院
陆军指挥学院,中国人民解放军陆军指挥学院
陆军特种作战学院,中国人民解放军陆军特种作战学院
陆军航空兵学院,中国人民解放军陆军航空兵学院
陆军防化学院,中国人民解放军陆军防化学院
中国人民武装警察部队学院,中国人民警察大学
中国兵器科学研究院（中国北方自动控制技术研究所）,中国兵器科学研究院(中国北方自动控制技术研究所)
中国兵器科学研究院（中国北方车辆研究所）,中国兵器科学研究院(中国北方车辆研究所)
中国北方车辆研究所,中国兵器科学研究院(中国北方车辆研究所)
中国兵器科学研究院（西南自动化研究所）,中国兵器科学研究院(西南自动化研究所)
中国地质大学,中国地质大学(北京)
中国地质大学（北京）,中国地质大学(北京)
中国地质大学（武汉）,中国地质大学(武汉)
中国工程物理研究院研究生院,中国工程物理研究院
中国工程物理研究院（化工材料研究所）,中国工程物理研究院(化工材料研究所)
中国工程物理研究院（北京应用物理与计算数学研究所,中国工程物理研究院(北京应用物理与计算数学研究所)
中国工程物理研究院（北京应用物理与计算数学研究所）,中国工程物理研究院(北京应用物理与计算数学研究所)
中国工程物理研究院（四川计算机应用研究所）,中国工程物理研究院(四川计算机应用研究所)
机械科学研究院,中国机械科学研究总院集团有限公司
机械科学研究总院,中国机械科学研究总院集团有限公司
北京机械工业自动化研究所有限公司,中国机械科学研究总院集团有限公司(北自所)
机械科学研究院（北京机械工业自动化研究所）,中国机械科学研究总院集团有限公司(北自所)
机械科学研究总院哈尔滨焊接研究所,中国机械科学研究总院集团有限公司(哈焊所)
北京机电研究所,中国机械科学研究总院集团有限公司(机电所)
机械科学研究院（北京机电研究所）,中国机械科学研究总院集团有限公司(机电所)
机械科学研究总院武汉材料保护研究所,中国机械科学研究总院集团有限公司(材保所)
机械科学研究总院沈阳铸造研究所,中国机械科学研究总院集团有限公司(沈铸所)
机械科学研究总院郑州机械研究所,中国机械科学研究总院集团有限公司(郑机所)
机械科学研究院（郑州机械研究所）,中国机械科学研究总院集团有限公司(郑机所)
中国民用航空学院,中国民航大学
华北计算机系统工程研究所,中国电子信息产业集团有限公司(6所)
中国电子科技集团有限公司研究生院,中国电子科技集团有限公司
中国电子科技集团公司第十四研究所,中国电子科技集团有限公司(14所)
南京电子技术研究所,中国电子科技集团有限公司(14所)
华东计算技术研究所,中国电子科技集团有限公司(32所)
中国电子科技集团公司电子科学研究院,中国电子科技集团有限公司(电子科学研究院)
电子科学研究院,中国电子科技集团有限公司(电子科学研究院)
中国石油大学（北京）,中国石油大学(北京)
中国石油大学（华东）,中国石油大学(华东)
中国石油大学（华东）研究生院,中国石油大学(华东)
中国矿业大学（北京）,中国矿业大学(北京)
中国矿业大学（徐州）,中国矿业大学(徐州)
中国社会科学院研究生院,中国社会科学院大学
中国科技大学,中国科学技术大学
中科院上海微系统与信息技术研究所,中国科学院上海微系统与信息技术研究所
上海技术物理研究所,中国科学院上海技术物理研究所
中科院上海有机化学研究所,中国科学院上海有机化学研究所
中科院光电技术研究所,中国科学院光电技术研究所
中科院光电研究院,中国科学院光电研究院
中科院半导体研究所,中国科学院半导体研究所
半导体所,中国科学院半导体研究所
中科院南京地理与湖泊研究所,中国科学院南京地理与湖泊研究所
中科院南海海洋研究所,中国科学院南海海洋研究所
中科院合肥物质科学研究院,中国科学院合肥物质科学研究院
国家授时中心,中国科学院国家授时中心
声学所,中国科学院声学研究所
中国科学院声学所东海研究站,中国科学院声学研究所东海研究站
中科院声学研究所东海研究站,中国科学院声学研究所东海研究站
声学研究所东海研究站,中国科学院声学研究所东海研究站
中国科学院,中国科学院大学
中国科学院研究生院,中国科学院大学
国科大杭州高等研究院,中国科学院大学杭州高等研究院
中科院大连化学物理研究所,中国科学院大连化学物理研究所
中科院成都山地灾害与环境研究所,中国科学院成都山地灾害与环境研究所
中科院成都计算机应用研究所,中国科学院成都计算机应用研究所
中科院数学与系统科学研究院,中国科学院数学与系统科学研究院
中科院植物研究所,中国科学院植物研究所
武汉岩土力学研究所,中国科学院武汉岩土力学研究所
中科院沈阳自动化研究所,中国科学院沈阳自动化研究所
中国科学院沈阳计算技术研究所有限公司,中国科学院沈阳计算技术研究所
中科院沈阳计算技术研究所,中国科学院沈阳计算技术研究所
测量与地球物理研究所,中国科学院测量与地球物理研究所
中科院科技政策与管理科学研究所,中国科学院科技政策与管理科学研究所
中科院紫金山天文台,中国科学院紫金山天文台
中科院自动化研究所,中国科学院自动化研究所
西安光学精密机械研究所,中国科学院西安光学精密机械研究所
西安精密机械研究所,中国科学院西安光学精密机械研究所
中科院计算所,中国科学院计算技术研究所
中科院计算技术研究所,中国科学院计算技术研究所
中科院计算机网络信息中心,中国科学院计算机网络信息中心
中国科学院大学软件研究所,中国科学院软件研究所
中科院近代物理研究所,中国科学院近代物理研究所
中科院金属研究所,中国科学院金属研究所
中科院长春光学精密机械与物理研究所,中国科学院长春光学精密机械与物理研究所
高能物理研究所,中国科学院高能物理研究所
中国航天科工集团公司第三研究院,中国航天科工集团有限公司第三研究院
中国航天科工集团第三研究院,中国航天科工集团有限公司第三研究院
北京空天技术研究所,中国航天科工集团有限公司第三研究院(301所)
中国航天科工集团公司第三研究院（31所）,中国航天科工集团有限公司第三研究院(31所)
中国航天科工集团公司第三研究院（33所）,中国航天科工集团有限公司第三研究院(33所)
中国航天科工集团公司第三研究院（35所）,中国航天科工集团有限公司第三研究院(35所)
中国航天科工集团公司第三研究院（8358所）,中国航天科工集团有限公司第三研究院(8358所)
航天科工集团三院8358所,中国航天科工集团有限公司第三研究院(8358所)
中国航天科工集团公司第三研究院（8359所）,中国航天科工集团有限公司第三研究院(8359所)
北京特种机械研究所,中国航天科工集团有限公司第三研究院(8359所)
中国航天科工集团公司第三研究院（第三总体设计部）,中国航天科工集团有限公司第三研究院(第三总体设计部)
北京机电工程研究所,中国航天科工集团有限公司第三研究院(第三总体设计部)
中国航天二院,中国航天科工集团有限公司第二研究院
中国航天二院研究生院,中国航天科工集团有限公司第二研究院
中国航天科工集团公司第二研究院,中国航天科工集团有限公司第二研究院
中国航天科工集团第二研究院,中国航天科工集团有限公司第二研究院
中国航天科工集团公司第二研究院（17所）,中国航天科工集团有限公司第二研究院(17所)
中国航天科工集团公司第二研究院（206所）,中国航天科工集团有限公司第二研究院(206所)
